УКРАЇНА 45962947 45778534 45633637
Міське населення 2540 2478 2459
смт Чупахівка 2540 2478 2459
Сільське населення 25534 25243 25045
Путивльський район 30058 29691 29323
Міське населення 16552 16468 16344
м. Путивль 16552 16468 16344
Сільське населення 13506 13223 12979
Роменський район 37571 36698 35890
Сільське населення 37571 36698 35890
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 93
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Середино-Будський район 17765 17607 17430
Міське населення 9309 9297 9279
м. Середина-Буда 7298 7301 7300
смт Зноб-Новгородське 2011 1996 1979
Сільське населення 8456 8310 8151
Сумський район 63025 62954 62951
Міське населення 10973 10929 10922
смт Низи 2889 2881 2881
смт Степанівка 5569 5562 5562
смт Хотінь 2515 2486 2479
Сільське населення 52052 52025 52029
Тростянецький район 37816 37479 37108
Міське населення 21682 21580 21463
м. Тростянець 21682 21580 21463
Сільське населення 16134 15899 15645
Шосткинський район 21949 21724 21558
Міське населення 7234 7181 7212
смт Вороніж 7234 7181 7212
Сільське населення 14715 14543 14346
Ямпільський район 26007 25726 25364
Міське населення 17000 16914 16755
м. Дружба 5141 5150 5104
смт Ямпіль 4720 4695 4690
смт Свеса 7139 7069 6961
Сільське населення 9007 8812 8609
Тернопільська область 1088865 1084127 1080431
Міське населення 474696 474694 474917
Сільське населення 614169 609433 605514
м. Тернопіль 217577 217446 217300
Бережанський район 42631 42298 42034
Міське населення 18118 18116 18119
м. Бережани 18118 18116 18119
Сільське населення 24513 24182 23915
Борщівський район 70260 69667 69206
Міське населення 19231 19219 19198
м. Борщів 11274 11273 11219
смт Мельниця-Подільська 3723 3712 3724
смт Скала-Подільська 4234 4234 4255
Сільське населення 51029 50448 50008
Бучацький район 63943 63885 64011
Міське населення 14962 14994 15020
м. Бучач 12480 12514 12547
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 94
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Золотий Потік 2482 2480 2473
Сільське населення 48981 48891 48991
Гусятинський район 63205 62772 62458
Міське населення 23002 23013 23007
м. Копичинці 6878 6869 6867
м. Хоростків 7096 7067 7056
смт Гусятин 7043 7104 7122
смт Гримайлів 1985 1973 1962
Сільське населення 40203 39759 39451
Заліщицький район 49309 48912 48405
Міське населення 12803 12810 12730
м. Заліщики 9409 9426 9382
смт Товсте 3394 3384 3348
Сільське населення 36506 36102 35675
Збаразький район 58943 58814 58666
Міське населення 17300 17339 17354
м. Збараж 13866 13915 13949
смт Вишнівець 3434 3424 3405
Сільське населення 41643 41475 41312
Зборівський район 44270 43819 43484
Міське населення 9985 9869 9721
м. Зборів 7286 7163 7018
смт Залізці 2699 2706 2703
Сільське населення 34285 33950 33763
Козівський район 39818 39505 39269
Міське населення 11300 11245 11237
смт Козова 9420 9389 9385
смт Козлів 1880 1856 1852
Сільське населення 28518 28260 28032
Кременецький район 69662 69442 69312
Міське населення 29392 29381 29415
м. Кременець 21602 21624 21639
м. Почаїв 7790 7757 7776
Сільське населення 40270 40061 39897
Лановецький район 30760 30529 30281
Міське населення 8675 8682 8743
м. Ланівці 8675 8682 8743
Сільське населення 22085 21847 21538
Монастириський район 30918 30522 30122
Міське населення 9671 9642 9593
м. Монастириська 6137 6134 6117
смт Коропець 3534 3508 3476
Сільське населення 21247 20880 20529
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 95
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Підволочиський район 43878 43672 43465
Міське населення 11969 11991 12017
м. Скалат 4011 3989 4002
смт Підволочиськ 7958 8002 8015
Сільське населення 31909 31681 31448
Підгаєцький район 20225 19930 19678
Міське населення 2947 2937 2908
м. Підгайці 2947 2937 2908
Сільське населення 17278 16993 16770
Теребовлянський район 68080 67770 67533
Міське населення 19257 19310 19370
м. Теребовля 13764 13769 13796
смт Дружба 1786 1813 1836
смт Микулинці 3707 3728 3738
Сільське населення 48823 48460 48163
Тернопільський район 64159 64457 64902
Міське населення 10557 10678 10864
смт Велика Березовиця 7162 7249 7427
смт Великі Бірки 3395 3429 3437
Сільське населення 53602 53779 54038
Чортківський район 76808 76407 76159
Міське населення 32577 32635 32917
м. Чортків 29196 29249 29500
смт Заводське 3381 3386 3417
Сільське населення 44231 43772 43242
Шумський район 34419 34280 34146
Міське населення 5373 5387 5404
м. Шумськ 5373 5387 5404
Сільське населення 29046 28893 28742
Харківська область 2769089 2755108 2742180
Міське населення 2214078 2205163 2197246
Сільське населення 555011 549945 544934
м. Харків 1452256 1446500 1441362
м. Ізюм 52821 52374 51934
Куп'янськ (міськрада) 58728 58505 58227
Міське населення 58728 58505 58227
м. Куп'янськ 30014 29902 29686
смт Ківшарівка 19611 19544 19498
смт Куп'янськ-Вузловий 9103 9059 9043
Лозова (міськрада) 68737 68339 67834
Міське населення 66934 66546 66039
м. Лозова 59470 59136 58636
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 96
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Панютине 7464 7410 7403
Сільське населення 1803 1793 1795
Люботин (міськрада) 24610 24660 24664
Міське населення 21825 21866 21868
м. Люботин 21825 21866 21868
Сільське населення 2785 2794 2796
Первомайський (міськрада) 31302 31224 31166
Міське населення 30910 30842 30796
м. Первомайський 30910 30842 30796
Сільське населення 392 382 370
Чугуїв (міськрада) 33379 33172 33172
Міське населення 32532 32331 32327
м. Чугуїв 32532 32331 32327
Сільське населення 847 841 845
Балаклійський район 84998 84571 84002
Міське населення 53315 53149 52851
м. Балаклія 29781 29676 29623
смт Андріївка 9081 9045 8977
смт Савинці 5216 5216 5177
смт Червоний Донець 9237 9212 9074
Сільське населення 31683 31422 31151
Барвінківський район 25270 24679 23991
Міське населення 10395 10205 9950
м. Барвінкове 10395 10205 9950
Сільське населення 14875 14474 14041
Близнюківський район 21148 20774 20452
Міське населення 4025 3957 3943
смт Близнюки 4025 3957 3943
Сільське населення 17123 16817 16509
Богодухівський район 40676 40411 40167
Міське населення 19449 19398 19329
м. Богодухів 15897 15867 15829
смт Гути 1828 1821 1797
смт Шарівка 1724 1710 1703
Сільське населення 21227 21013 20838
Борівський район 18101 17846 17534
Міське населення 5936 5864 5765
смт Борова 5936 5864 5765
Сільське населення 12165 11982 11769
Валківський район 32869 32567 32356
Міське населення 14676 14493 14420
м. Валки 9615 9528 9475
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 97
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Ков'яги 3234 3177 3161
смт Старий Мерчик 1827 1788 1784
Сільське населення 18193 18074 17936
Великобурлуцький район 23955 23725 23433
Міське населення 6313 6289 6207
смт Великий Бурлук 4154 4144 4079
смт Приколотне 2159 2145 2128
Сільське населення 17642 17436 17226
Вовчанський район 49125 48689 48369
Міське населення 28732 28575 28537
м. Вовчанськ 19192 19123 19114
смт Білий Колодязь 4107 4050 4020
смт Вільча 1765 1744 1746
смт Старий Салтів 3668 3658 3657
Сільське населення 20393 20114 19832
Дворічанський район 18868 18751 18593
Міське населення 3908 3921 3872
смт Дворічна 3908 3921 3872
Сільське населення 14960 14830 14721
Дергачівський район 95019 94927 94873
Міське населення 67635 67610 67660
м. Дергачі 18341 18194 18162
смт Вільшани 7011 7011 7007
смт Козача Лопань 5392 5349 5363
смт Мала Данилівка 7874 7962 7975
смт Пересічна 7069 7084 7091
смт Прудянка 1877 1865 1850
смт Слатине 6546 6555 6517
смт Солоницівка 13525 13590 13695
Сільське населення 27384 27317 27213
Зачепилівський район 16299 16119 15941
Міське населення 3824 3806 3789
смт Зачепилівка 3824 3806 3789
Сільське населення 12475 12313 12152
Зміївський район 73522 73036 72896
Міське населення 34239 34017 33956
м. Зміїв 15435 15305 15270
смт Зідьки 3849 3848 3871
смт Комсомольське 14955 14864 14815
Сільське населення 39283 39019 38940
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 98
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Золочівський район 28290 27764 27253
Міське населення 9437 9258 9086
смт Золочів 9437 9258 9086
Сільське населення 18853 18506 18167
Ізюмський район 18908 18684 18365
Сільське населення 18908 18684 18365
Кегичівський район 21867 21780 21648
Міське населення 9116 9098 9065
смт Кегичівка 6324 6307 6286
смт Чапаєве 2792 2791 2779
Сільське населення 12751 12682 12583
Коломацький район 7783 7699 7576
Міське населення 3303 3258 3163
смт Коломак 3303 3258 3163
Сільське населення 4480 4441 4413
Красноградський район 46081 45816 45604
Міське населення 21532 21430 21352
м. Красноград 21532 21430 21352
Сільське населення 24549 24386 24252
Краснокутський район 29609 29339 29156
Міське населення 9237 9184 9146
смт Краснокутськ 7748 7748 7736
смт Костянтинівка 1489 1436 1410
Сільське населення 20372 20155 20010
Куп'янський район 26309 26054 25816
Сільське населення 26309 26054 25816
Лозівський район 30950 30749 30472
Міське населення 10785 10757 10724
смт Краснопавлівка 7393 7386 7362
смт Орілька 3392 3371 3362
Сільське населення 20165 19992 19748
Нововодолазький район 35339 34963 34547
Міське населення 12672 12564 12403
смт Нова Водолага 12129 12029 11868
смт Бірки 543 535 535
Сільське населення 22667 22399 22144
Первомайський район 17248 17017 16759
Сільське населення 17248 17017 16759
Печенізький район 10686 10553 10470
Міське населення 5595 5535 5475
смт Печеніги 5595 5535 5475
Сільське населення 5091 5018 4995
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 99
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Сахновщинський район 22764 22542 22323
Міське населення 7741 7686 7663
смт Сахновщина 7741 7686 7663
Сільське населення 15023 14856 14660
Харківський район 182986 183083 183184
Міське населення 121581 121654 121822
м. Мерефа 22365 22299 22273
м. Південне 7978 7937 7880
смт Бабаї 7020 6989 6958
смт Безлюдівка 9614 9642 9662
смт Березівка 1610 1601 1595
смт Буди 6439 6381 6350
смт Васищеве 5989 6016 6006
смт Високий 10687 10611 10574
смт Коротич 5106 5107 5131
смт Кулиничі 3131 3125 3106
смт Манченки 842 838 835
смт Пісочин 21451 21864 22293
смт Покотилівка 9873 9846 9838
смт Рогань 3910 3830 3775
смт Утківка 1252 1231 1241
смт Хорошеве 4314 4337 4305
Сільське населення 61405 61429 61362
Чугуївський район 47246 46980 46918
Міське населення 27472 27358 27383
смт Введенка 2465 2460 2445
смт Есхар 5487 5508 5485
смт Кочеток 3255 3208 3164
смт Малинівка 7440 7424 7469
смт Новопокровка 4799 4787 4812
смт Чкаловське 4026 3971 4008
Сільське населення 19774 19622 19535
Шевченківський район 21340 21216 21123
Міське населення 7154 7133 7132
смт Шевченкове 7154 7133 7132
Сільське населення 14186 14083 13991
Херсонська область 1093431 1088237 1083367
Міське населення 668487 665472 662434
Сільське населення 424944 422765 420933
Херсон (міськрада) 342606 340578 338685
Міське населення 331244 329176 327340
м. Херсон 304613 302528 300666
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 100
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Антонівка 12747 12790 12785
смт Зеленівка 5750 5785 5781
смт Комишани 7002 6941 6979
смт Наддніпрянське 1132 1132 1129
Сільське населення 11362 11402 11345
м. Каховка 37342 37409 37379
Нова Каховка (міськрада) 70146 69896 69541
Міське населення 64018 63780 63429
м. Нова Каховка 48477 48298 48038
м.Таврійськ 11053 11051 11011
смт Дніпряни 4488 4431 4380
Сільське населення 6128 6116 6112
Бериславський район 50099 49697 49215
Міське населення 17350 17266 17120
м. Берислав 13532 13457 13344
смт Козацьке 3818 3809 3776
Сільське населення 32749 32431 32095
Білозерський район 67509 67456 67211
Міське населення 9806 9804 9793
смт Білозерка 9806 9804 9793
Сільське населення 57703 57652 57418
Великолепетиський район 17710 17569 17489
Міське населення 8652 8620 8597
смт Велика Лепетиха 8652 8620 8597
Сільське населення 9058 8949 8892
Великоолександрівський район 27179 26885 26739
Міське населення 10030 9977 9932
смт Велика Олександрівка 6989 6966 6969
смт Біла Криниця 1348 1330 1327
смт Калінінське 1311 1297 1261
смт Кар'єрне 382 384 375
Сільське населення 17149 16908 16807
Верхньорогачицький район 12762 12610 12549
Міське населення 6109 6011 5957
смт Верхній Рогачик 6109 6011 5957
Сільське населення 6653 6599 6592
Високопільський район 15695 15568 15394
Міське населення 6304 6269 6223
смт Високопілля 4382 4353 4308
смт Архангельське 1922 1916 1915
Сільське населення 9391 9299 9171
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 101
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Генічеський район 61726 61571 61352
Міське населення 34350 34315 34287
м. Генічеськ 20520 20487 20466
смт Новоолексіївка 10209 10224 10200
смт Партизани 3621 3604 3621
Сільське населення 27376 27256 27065
Голопристанський район 61881 61682 61605
Міське населення 15067 15001 14950
м. Гола Пристань 15067 15001 14950
Сільське населення 46814 46681 46655
Горностаївський район 20252 20117 20092
Міське населення 6778 6745 6732
смт Горностаївка 6778 6745 6732
Сільське населення 13474 13372 13360
Іванівський район 14931 14770 14650
Міське населення 4715 4708 4692
смт Іванівка 4715 4708 4692
Сільське населення 10216 10062 9958
Каланчацький район 22353 22298 22218
Міське населення 11452 11484 11476
смт Каланчак 9493 9518 9515
смт Мирне 1959 1966 1961
Сільське населення 10901 10814 10742
Каховський район 36614 36407 36367
Міське населення 5622 5631 5622
смт Любимівка 5622 5631 5622
Сільське населення 30992 30776 30745
Нижньосірогозький район 16946 16793 16591
Міське населення 5194 5137 5087
смт Нижні Сірогози 5194 5137 5087
Сільське населення 11752 11656 11504
Нововоронцовський район 22347 22153 22056
Міське населення 6608 6549 6527
смт Нововоронцовка 6608 6549 6527
Сільське населення 15739 15604 15529
Новотроїцький район 37732 37453 37155
Міське населення 15483 15434 15344
смт Новотроїцьке 10853 10824 10773
смт Сиваське 4630 4610 4571
Сільське населення 22249 22019 21811
Скадовський район 48602 48630 48656
Міське населення 22361 22287 22287
м. Скадовськ 19123 19073 19069
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 102
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Лазурне 3238 3214 3218
Сільське населення 26241 26343 26369
Цюрупинський район 72720 72570 72441
Міське населення 36912 36814 36713
м. Цюрупинськ 25264 25217 25172
смт Брилівка 4428 4416 4404
смт Нова Маячка 7220 7181 7137
Сільське населення 35808 35756 35728
Чаплинський район 36279 36125 35982
Міське населення 13090 13055 12947
смт Чаплинка 10006 10021 9942
смт Асканія-Нова 3084 3034 3005
Сільське населення 23189 23070 23035
Хмельницька область 1333957 1326926 1320171
Міське населення 726168 727656 728202
Сільське населення 607789 599270 591969
м. Хмельницький 261397 262788 263703
м. Кам'янець-Подільський 102813 103063 102969
м. Нетішин 36072 36257 36474
м. Славута 35442 35442 35479
м. Старокостянтинів 34754 34875 34994
м. Шепетівка 43706 43573 43501
Білогірський район 28359 28128 27858
Міське населення 7476 7505 7443
смт Білогір'я 5481 5483 5450
смт Ямпіль 1995 2022 1993
Сільське населення 20883 20623 20415
Віньковецький район 26602 26179 25866
Міське населення 6502 6473 6441
смт Віньківці 6502 6473 6441
Сільське населення 20100 19706 19425
Волочиський район 54326 53786 53358
Міське населення 22243 22198 22169
м. Волочиськ 19754 19723 19701
смт Війтівці 914 922 909
смт Наркевичі 1575 1553 1559
Сільське населення 32083 31588 31189
Городоцький район 51681 51043 50364
Міське населення 19331 19298 19218
м. Городок 16911 16885 16812
смт Сатанів 2420 2413 2406
Сільське населення 32350 31745 31146
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 103
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Деражнянський район 33518 33258 33034
Міське населення 14324 14332 14389
м. Деражня 10160 10185 10260
смт Вовковинці 2588 2556 2545
смт Лозове 1576 1591 1584
Сільське населення 19194 18926 18645
Дунаєвецький район 65914 65198 64559
Міське населення 20733 20733 20696
м. Дунаївці 16201 16219 16214
смт Дунаївці 2600 2602 2560
смт Смотрич 1932 1912 1922
Сільське населення 45181 44465 43863
Ізяславський район 47296 46745 46344
Міське населення 17275 17203 17198
м. Ізяслав 17275 17203 17198
Сільське населення 30021 29542 29146
Кам'янець-Подільський район 68979 68401 67954
Міське населення 2341 2338 2318
смт Стара Ушиця 2341 2338 2318
Сільське населення 66638 66063 65636
Красилівський район 54934 54465 54043
Міське населення 22164 22162 22169
м. Красилів 19737 19761 19783
смт Антоніни 2427 2401 2386
Сільське населення 32770 32303 31874
Летичівський район 30164 29766 29381
Міське населення 12108 12082 12013
смт Летичів 10585 10577 10538
смт Меджибіж 1523 1505 1475
Сільське населення 18056 17684 17368
Новоушицький район 31401 30934 30477
Міське населення 4386 4404 4387
смт Нова Ушиця 4386 4404 4387
Сільське населення 27015 26530 26090
Полонський район 46663 46367 46017
Міське населення 29550 29463 29336
м. Полонне 22064 21999 21885
смт Понінка 7486 7464 7451
Сільське населення 17113 16904 16681
Славутський район 31672 31301 30933
Сільське населення 31672 31301 30933
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 104
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Старокостянтинівський район 31720 31155 30667
Сільське населення 31720 31155 30667
Старосинявський район 21964 21671 21425
Міське населення 5612 5581 5591
смт Стара Синява 5612 5581 5591
Сільське населення 16352 16090 15834
Теофіпольський район 28476 28201 27974
Міське населення 8584 8555 8552
смт Теофіполь 6761 6763 6785
смт Базалія 1823 1792 1767
Сільське населення 19892 19646 19422
Хмельницький район 52940 52877 52934
Міське населення 959 949 962
смт Чорний Острів 959 949 962
Сільське населення 51981 51928 51972
Чемеровецький район 44254 43625 43056
Міське населення 6697 6770 6740
смт Чемерівці 5347 5399 5369
смт Закупне 1350 1371 1371
Сільське населення 37557 36855 36316
Шепетівський район 35698 35253 34878
Міське населення 3686 3658 3627
смт Гриців 3686 3658 3627
Сільське населення 32012 31595 31251
Ярмолинецький район 33212 32575 31929
Міське населення 8013 7954 7833
смт Ярмолинці 8013 7954 7833
Сільське населення 25199 24621 24096
Черкаська область 1295218 1285384 1277303
Міське населення 724108 720814 718409
Сільське населення 571110 564570 558894
Черкаси (міськрада) 288450 287712 286912
Міське населення 287713 286987 286163
м. Черкаси 287713 286987 286163
Сільське населення 737 725 749
Ватутіне (міськрада) 18733 18523 18418
Міське населення 18034 17826 17731
м. Ватутіне 18034 17826 17731
Сільське населення 699 697 687
Золотоноша (міськрада) 29493 29476 29457
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 105
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Міське населення 28463 28462 28454
м. Золотоноша 28463 28462 28454
Сільське населення 1030 1014 1003
м. Канів 25846 25759 25702
Сміла (міськрада) 68736 68534 68680
Міське населення 68721 68520 68667
м. Сміла 68721 68520 68667
Сільське населення 15 14 13
м. Умань 87836 87437 87425
Городищенський район 43320 42818 42370
Міське населення 19172 19022 18912
м. Городище 14585 14480 14407
смт Вільшана 3296 3256 3237
смт Цвіткове 1291 1286 1268
Сільське населення 24148 23796 23458
Драбівський район 37903 37417 37017
Міське населення 9801 9729 9634
смт Драбів 6862 6838 6780
смт Шрамківка 2939 2891 2854
Сільське населення 28102 27688 27383
Жашківський район 39529 39084 38652
Міське населення 14465 14363 14281
м. Жашків 14465 14363 14281
Сільське населення 25064 24721 24371
Звенигородський район 47779 47094 46544
Міське населення 18482 18330 18127
м. Звенигородка 18482 18330 18127
Сільське населення 29297 28764 28417
Золотоніський район 43620 43265 42975
Сільське населення 43620 43265 42975
Кам'янський район 30300 29877 29368
Міське населення 13261 13039 12864
м. Кам'янка 13261 13039 12864
Сільське населення 17039 16838 16504
Канівський район 20806 20577 20253
Сільське населення 20806 20577 20253
Катеринопільський район 25584 25286 24916
Міське населення 9946 9902 9837
смт Катеринопіль 5869 5837 5805
смт Єрки 4077 4065 4032
Сільське населення 15638 15384 15079
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 106
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Корсунь-Шевченківський район 45426 45068 44836
Міське населення 22470 22420 22414
м. Корсунь-Шевченківський 18811 18763 18759
смт Стеблів 3659 3657 3655
Сільське населення 22956 22648 22422
Лисянський район 25060 24848 24631
Міське населення 8125 8160 8182
смт Лисянка 8125 8160 8182
Сільське населення 16935 16688 16449
Маньківський район 29314 29035 28743
Міське населення 10095 9993 9841
смт Маньківка 8113 8050 7924
смт Буки 1982 1943 1917
Сільське населення 19219 19042 18902
Монастирищенський район 37759 37489 37324
Міське населення 12956 12863 12851
м. Монастирище 9230 9142 9134
смт Цибулів 3726 3721 3717
Сільське населення 24803 24626 24473
Смілянський район 34298 33886 33492
Сільське населення 34298 33886 33492
Тальнівський район 36955 36374 35898
Міське населення 14526 14456 14343
м. Тальне 14526 14456 14343
Сільське населення 22429 21918 21555
Уманський район 44940 44521 44125
Міське населення 2342 2357 2335
смт Бабанка 2342 2357 2335
Сільське населення 42598 42164 41790
Христинівський район 36022 35801 35670
Міське населення 14937 14800 14729
м. Христинівка 10913 10876 10873
смт Верхнячка 4024 3924 3856
Сільське населення 21085 21001 20941
Черкаський район 76845 76618 76647
Міське населення 892 875 873
смт Ірдинь 892 875 873
Сільське населення 75953 75743 75774
Чигиринський район 29948 29370 28796
Міське населення 9964 9747 9568
м. Чигирин 9964 9747 9568
Сільське населення 19984 19623 19228
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 107
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Чорнобаївський район 43997 43329 42763
Міське населення 7771 7611 7482
смт Чорнобай 7771 7611 7482
Сільське населення 36226 35718 35281
Шполянський район 46719 46186 45689
Міське населення 18290 18156 17994
м. Шпола 18290 18156 17994
Сільське населення 28429 28030 27695
Чернівецька область 904371 904277 905264
Міське населення 379250 381125 383040
Сільське населення 525121 523152 522224
м. Чернівці 251776 253843 255929
м. Новодністровськ 10621 10701 10758
Вижницький район 56132 55790 55611
Міське населення 17653 17481 17366
м. Вижниця 4365 4285 4230
м. Вашківці 5506 5455 5430
смт Берегомет 7782 7741 7706
Сільське населення 38479 38309 38245
Герцаївський район 32316 32367 32448
Міське населення 2127 2130 2128
м. Герца 2127 2130 2128
Сільське населення 30189 30237 30320
Глибоцький район 72694 72890 73218
Міське населення 9298 9376 9443
смт Глибока 9298 9376 9443
Сільське населення 63396 63514 63775
Заставнівський район 51897 51524 51247
Міське населення 10956 10887 10820
м. Заставна 8214 8159 8097
смт Кострижівка 2742 2728 2723
Сільське населення 40941 40637 40427
Кельменецький район 43515 43182 42760
Міське населення 7581 7552 7515
смт Кельменці 7581 7552 7515
Сільське населення 35934 35630 35245
Кіцманський район 70466 70231 70143
Міське населення 14166 14171 14117
м. Кіцмань 7034 6995 6904
смт Лужани 4720 4738 4761
смт Неполоківці 2412 2438 2452
Сільське населення 56300 56060 56026
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 108
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Новоселицький район 81668 80942 80335
Міське населення 7973 7892 7841
м. Новоселиця 7973 7892 7841
Сільське населення 73695 73050 72494
Путильський район 25600 25651 25792
Міське населення 3290 3335 3343
смт Путила 3290 3335 3343
Сільське населення 22310 22316 22449
Сокирянський район 45004 44692 44569
Міське населення 9606 9538 9517
м. Сокиряни 9606 9538 9517
Сільське населення 35398 35154 35052
Сторожинецький район 96855 97363 97949
Міське населення 24074 24246 24384
м. Сторожинець 14462 14508 14505
смт Красноїльськ 9612 9738 9879
Сільське населення 72781 73117 73565
Хотинський район 65827 65101 64505
Міське населення 10129 9973 9879
м. Хотин 10129 9973 9879
Сільське населення 55698 55128 54626
Чернігівська область 1109747 1098209 1088509
Міське населення 691982 689335 687418
Сільське населення 417765 408874 401091
м. Чернігів 297402 296896 296723
м. Ніжин 74365 74058 73597
м. Прилуки 59180 58890 58852
Бахмацький район 48633 47984 47392
Міське населення 24179 24027 23912
м. Бахмач 18853 18798 18780
м. Батурин 2800 2758 2705
смт Дмитрівка 2526 2471 2427
Сільське населення 24454 23957 23480
Бобровицький район 35780 35308 34942
Міське населення 11204 11244 11280
м. Бобровиця 11204 11244 11280
Сільське населення 24576 24064 23662
Борзнянський район 35794 35108 34507
Міське населення 10650 10640 10591
м. Борзна 10650 10640 10591
Сільське населення 25144 24468 23916
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 109
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Варвинський район 17639 17368 17122
Міське населення 8582 8518 8419
смт Варва 8582 8518 8419
Сільське населення 9057 8850 8703
Городнянський район 31077 30630 30234
Міське населення 12862 12766 12616
м. Городня 12862 12766 12616
Сільське населення 18215 17864 17618
Ічнянський район 34949 34423 33944
Міське населення 15338 15317 15254
м. Ічня 11843 11781 11706
смт Дружба 964 979 997
смт Парафіївка 2531 2557 2551
Сільське населення 19611 19106 18690
Козелецький район 51407 50444 49571
Міське населення 22288 22148 22071
м. Остер 6445 6335 6289
смт Козелець 8276 8251 8220
смт Десна 7567 7562 7562
Сільське населення 29119 28296 27500
Коропський район 26408 25867 25374
Міське населення 7977 7890 7841
смт Короп 5539 5505 5503
смт Понорниця 2438 2385 2338
Сільське населення 18431 17977 17533
Корюківський район 29100 28815 28458
Міське населення 16315 16255 16109
м. Корюківка 13416 13363 13268
смт Холми 2899 2892 2841
Сільське населення 12785 12560 12349
Куликівський район 19187 18829 18480
Міське населення 5617 5567 5545
смт Куликівка 5617 5567 5545
Сільське населення 13570 13262 12935
Менський район 39871 39305 38742
